@relation 'C__Users_jeimy_OneDrive_School_Classes_CAP4770 Data Mining_DM Project_Project Data'

@attribute text string
@attribute @@class@@ {HS,NonHS}

@data
'201,\"Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike\"\r\n',HS
'202,\"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It\'s because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... Ks0SHbtYqn\"\r\n',HS
'203,\"@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe\"\r\n',HS
'206,@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall\r\n',HS
'212,\"@RealDonaldTrump @HouseGOP Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers  #SendThemBack !  Stop Alowing illegals to Abuse the Taxpayer #Immigration rItfeGcB5R via @BreitbartNews\"\r\n',HS
'216,\"Lithuania, Romania aided CIA torture, top European Union court rules Xe5EDJp3jt            EU court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration...\"\r\n',HS
'217,\"Worldbank reports that in the next 30 years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to shoot them down and protect her own homeland, before it will destroyed from Africans ? gVBh2r9bes\"\r\n',HS
'218,Rich African Countries don\'t take in African MigrantsRich muslim countries don\'t take in muslim migrantsRich latin american countries don\'t take it latin migrantsBut white countries are suppose to accept them??\r\n',HS
'226,\"@WattersWorld @JesseBWatters @BillSpadea How about discussing this? #JoeBiden\'s \"\"black box\"\" of American success. #WhiteGenocide #ImmigrationInvasion #JesseWatters #WatersWorldk8bWjj7tnp\"\r\n',HS
'228,EU’s hailed migrant plan ‘˜a road to Hell’ Czech Republic refuses involvement sIBKJA9Dfc\r\n',HS
'230,\"MS-13 spreads to 22 states, fed by 300,000 illegals, DACA recipients, tied to 207 murders@GOPLeader @HouseGOP@SpeakerRyan#NoDACA #NoAmnesty#DeportThemAll#BuildTheWallAmnesty creates more Illegal Migration, always has, always will.\"\r\n',HS
'234,The real truth is after Cologne and in the Nordic countries and Others no one trusts any refugees a better life for them doesn\'t mean 1. 4 u\r\n',HS
'236,\"Watch: French Mayor Declares \"\"Muslim migrants are not welcome here\"\" - Free Speech Time - B59JBkSyXH @ISupport_Israel\"\r\n',HS
'239,two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda\r\n',HS
'241,\"Watch: Muslim migrants terrorizing Swedish people, including the elderly people who stand on their way - Free Speech Time - 2PP3R7fJdz @ISupport_Israel\"\r\n',HS
'243,(Islam in Europe) Documentary how Arab and African Immigrants Destroying... azrLoJbLbh via @YouTube\r\n',HS
'246,\"@AmyMek Passenger from Harlingen to Dallas,TX has infected many to measles!!! Stop the invasion. #BuildThatWall #KAG\"\r\n',HS
'247,This is what the streets of the #uk will look like in 10 more years #Brexitnow #stopimmigration\r\n',HS
'250,@RealJamesWoods And this is what we have to look forward to. We made the Arab world RICH while a few here got paid! Now we have this! #BuildThatWall\r\n',HS
'256,Let\'s build that wall.#BuildThatWall\r\n',HS
'261,@liberal_party I was in Toronto last year. It no longer looked like Canada. Very sad situation. The Canadians were good people.7bHGpS1cH0Stop immigration. Start deportations. We have the right to our homelands.\r\n',HS
'262,\"Democratic PATRIOTS pls call your representatives and demand #Kavanaugh be confirmed, esp if up for re-election. .@PressSec .@realDonaldTrump .@GenFlynn #SaturdayMotivation #USOpen2018 .@reba .@katyperry .@johnrich #MAGA #BuildThatWall #RedNationRising #WalkAway\"\r\n',HS
'264,Sweden: Migrant raped 92-year old grandmother on Christmas Eve – allowed to remain in Sweden #SWRM #SendThemHome #Sweden #Rapists aDxcQP00Hr via @pamelageller\r\n',HS
'269,\"@DFBHarvard SO WELL SAID, Daniel!His speeches ALL smack of Alinsky; divide & conquer by victimizing one group & calling out the other as bigots, racists, fascist, etc.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlu\"\r\n',HS
'270,\"@sriharikaranth @AsYouNotWish Here it is not about Refugees or Illegal immigrants. It is about whether one has documents before 1971 or not. Now, it is difficult for slum people and beggars to show valid documents, except the name in voter list. 1st under\"\r\n',HS
'273,I\'d say electrify the water but that would kill wildlife. #SendThemBack\r\n',HS
'275,Good news.We are against illegal immigrants.Bangladeshi must go yhY6HEOtLm your evidence and stay at Assam. 34sQqHPM5z\r\n',HS
'276,@CBSNews Just deport all these illegal aliens and their kids back to their 3rd world nations. American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal aliens and their kids! #MAGA #BuildTheWall #NoDACA #NoAmne\r\n',HS
'280,Many lice you will find in Viennese schools. Some refugees has brought us this as gift. To rescue it will cost 30 â‚¬ a person. UAv43Bylfb\r\n',HS
'282,.�?�@united�?� how about donating flights to deport the Invaders back to their homeland.  #StopTheInvasion #DeportThemAll  Ry2dah2KeJ\r\n',HS
'284,@Truthdig  Fake News it is not a new Stephen Miller Rule. the Public Charge rule has been part of the U.S #Immigration law  since 1882.  Why Should  U.S Taxpayers give Welfare to Immigrants and import the World\'s poor  ! #Veterans  #Trump #MAGA .\r\n',HS
'286,@ArvindKejriwal Pl save Delhi from becoming a SLUM CITY&amp;hub of illegal migrants.Pl take LG help in removing encroachments&amp;eviction of IMs\r\n',HS
'291,\"@charliekirk11 We need to improve our country, schools, neighborhoods, hospitals, prisons, by kicking out the illegals. #BuildTheDamnWall #BuildThatWall\"\r\n',HS
'296,@FAIRImmigration @NBCNews @JuliaEAinsley THIS CANNOT BE ALLOWED TO HAPPEN----CHILD KIDNAPPER AND MOLESTER MILLER NEEDS TO BE GONE!\r\n',HS
'297,The ONLY thing that can wash away this problem is a Big Red Wave in November!#BigRedWave #SendThemBack #IllegalCriminals\r\n',HS
'299,This immigrant should be hung or shot! Period! Animal. wFcGoLCqJ5\r\n',HS
'302,\"After IS is soon finished (US+Turkey secretserv. action), IS fighter have 11000 open Syrian passports for use. Stop immigration to Europe. CaHGlagaPW\"\r\n',HS
'303,\"@FAIRImmigration @BreitbartNews @NeilMunroDC Boy, they sure hated being separated from their kids, didn\'t they?#LiberalismIsAMentalDisorderThe kids shouldn\'t get to stay!!! #DeportThemAll #EndFamilySeparation!#StopCatchAndRelease\"\r\n',HS
'307,@Kashou_ @soulofkab real talk do you have eyes or were they gouged out by a rapefugee?\r\n',HS
'308,\"#WakeUp #Spain !! Stop #IllegalImmigration , and #sendthemback . WRcSbwYOAG\"\r\n',HS
'309,@flowers3712 As long as it takes to #BuildThatWall\r\n',HS
'313,Danger Treasonous individuals paid for by Soros and globalist @potus @realDonaldTrump #LockHerUp #BuildTheWall #BoycottNike #BoycottNFL #EndDACA now !!!!!\r\n',HS
'314,Good News !Illegal Aliens Claiming Fake Asylum are being deported in Record Numbers Not #HereToStay #Immigration  #RedNationRising #Trump #MAGA #SendThemHome 3u6TddW7NM via @tennessean\r\n',HS
'317,Good Morning Patriots xx Let everything we do be done with them in mind.#WalkAwayFromDemocrats #BuildThatWall #MAGA #ChooseLife #VoteDemsOut #REDWAVE2018 #Midterms #VoteRED #TinyLivesAtStake\r\n',HS
'319,\"The German Government Pays for 3 Week Vacation for Refugees to Go Home #MuslimImmigration  No the German government isn\'t paying, the German taxpayers are paying! The German government is robbing native Germans to finance the Islamization of Germany.  4CqBuf4in4\"\r\n',HS
'322,\"Great article on the #refugee crisis in Europe. \"\"The driving question for Europeans is: “How do we make it stop?�? But it refers not to the humanitarian drama of the forcibly displaced, just to their ability to reach Europe.\"\" claSlK8lIH\"\r\n',HS
